"id_skill","Skill","description"
"00831ebb-bac3-4bd1-8dae-2bca67be958d","handle equipment while suspended","Safely operate hand equipment while suspended on a rope. Take on a secure and stable position before starting the operation. After finishing, store the equipment safely, usually by attaching it to a belt buckle."
"0085e6bd-6829-4e8e-b302-842a7fe57ed9","teach housekeeping skills","Teach housekeeping as well as manual skills aiming to improve everyday tasks and life circumstances."
"008a0e0d-7380-4b31-abe5-0195e700f8c0","check train engines","Ensure that train engines comply with regulations before commencing a journey."
"008fa98b-dba6-4abf-909e-04299728e3eb","influence public policies","Communicate with policymakers and provide them with data to convince them to change legislation or allocate funds to a specific cause."
"00920055-eb50-4cb8-a23d-3deedbf3753e","enterprise risk management","A plan-based business strategy that aims to identify, assess, and prepare for any dangers, hazards, and other potentials for disaster, both physical and figurative, that may interfere with an organization's operations and objectives. "
"009673d9-e2fd-46ef-a64b-6027ac7fd613","manufacture ingredients","Manufacture ingredients such as spices, additives and vegetables."
"00994812-ac9e-4856-954b-f71bcc6066bb","maintain aquaculture ponds","Clean equipment and treatment tools. Drain and clean aquaculture ponds using brushes, chemicals, and water. Prepare holding containers for fish and change the nets. Conduct swimthroughs. Stock fish in holding units. Collect dead fish in holding units."
"009db49b-fcf5-4409-b4a5-232d059f3597","apply credit risk policy","Implement company policies and procedures in the credit risk management process. Permanently keep company's credit risk at a manageable level and take measures to avoid credit failure."
"00a4e92d-e410-42b8-ba2d-d7b3febf49e0","handle customer requests related to cargo","Handle requests of port users and customers in the field of containers, shipping arrangements or cargo."
"00b9a3aa-7070-4bb5-8020-f228a97cf42f","draft scientific or academic papers and technical documentation","Draft and edit scientific, academic or technical texts on different subjects."
"00c04e40-35ea-4ed1-824c-82f936c8f876","Incremental development","The incremental development model is a methodology to design software systems and applications."
"00c51318-4ea9-4d37-9cd8-74680583d203","use of special equipment for daily activities","The types of special equipment, prosthetics and orthotics used to aid with performing daily activities, such as wheelchairs."
"00c85cbc-2b24-4605-a6fe-55b5c615e3fe","sawing techniques","Various sawing techniques for using manual as well as electric saws."
"00cd1d60-782f-48e7-9a7b-b518f2b146b8","produce guitar components","Choose the appropriate tonewood, materials and tools, and build the different guitar components such as the sound board, fretboard, headstock, neck and bridge."
"00dd3271-077f-4a12-a958-e297fdd724ce","operate agricultural machinery","Operate motorised agricultural equipment including tractors, balers, sprayers, ploughs, mowers, combines, earthmoving equipment, trucks, and irrigation equipment."
"00e261cc-669c-4b94-8950-d038eceb92d8","control pyrotechnics stock","Check the expiration period of the stock in order to remove the already expired pyrotechnics. Place them into special metal containers for further processing."
"00e53a0a-c0ba-4c9f-a2ed-4706d5832a00","guarantee customer satisfaction","Handle customer expectations in a professional manner, anticipating and addressing their needs and desires. Provide flexible customer service to ensure customer satisfaction and loyalty."
"00e895f4-b9d3-4a1a-8c36-baf10fbfb982","manufacture wearing apparel products","Manufacture either mass-product or bespoke wearing apparels of various types, assembling and joining together wearing apparel components using processes such as sewing, gluing, bonding. Assemble wearing apparel components using stitches, seams such as collars, sleeves, top fronts, top backs, pockets."
"00eada7f-0b83-4f0c-af81-d7f92d838000","cure tobacco leaves","Remove the moisture out of the tobacco leaves directly after harvesting them through various processes such as air curing, flue curing or sun curing."
"00ebb379-ce26-439a-ba89-9a7d1ef2f696","develop a rehabilitation programme","Develop a rehabilitation programme to help patients rebuild their skills and restore their confidence."
"00ec5333-e570-477b-9017-2e95fea0150a","maintain inventory of cleaning supplies","Follow the stock of cleaning materials, order new material when the stock is empty and follow their usage to maintain a constant supply."
"00eefa32-9f77-4500-abe9-20afc7924a9d","cold vulcanisation","Technique used to repair defective tyres, especially bicycle tyres, and consisting in grinding the area around the tear, applying a vulcanising solution and fixing a patch to seal the tear."
"00f12ec1-b416-4e3c-8ed7-c4f875c6b681","supervise housekeeping operations","Oversee the day-to-day service and cleaning of rooms and public areas to ensure continuous operations."
"00f2eee1-cd4d-4a45-ae10-b6060f53ad5d","act as contact person during equipment incident","Act as the person to be contacted when an equipment incident occurs. Participate in the investigation by providing insights."
"00fc7575-0cee-4b12-ade5-795cb2a4479a","manage time in landscaping","Plan and implement work schedules to fit in landscaping activities, which include the briefing phase where the landscape project is discussed with a client after which follow a series of sketches, plans and designs."
"00ff06cc-103f-4c85-b5df-6f75acff6abf","advise on customs regulations","Give information to people regarding import and export restrictions, tariff systems and other custom-related topics."
"011711eb-f20b-4d64-84d7-17b8979946dc","manage university department","Supervise and assess the university support practices, students' well-being, and teachers' performance."
"0121ac3b-775b-4faf-b86d-0078623674bc","develop terminology databases","Collect and submit terms after verifying their legitimacy in order to build up terminology databases on an array of domains."
"01267c89-b27f-4de0-b555-3683c5a5d66e","assess nutritional characteristics of food","Evaluate the nutritional value of food, including proportion of fats, carbohydrates, sugars, vitamins, in order to contribute to a better healthy diet. "
"012795fe-5f85-4d12-a10e-9dabda4ea05f","repair electric bicycles","Inspect the functioning of the electrical components, wiring, and fuses. Check for damage and malfunctions and determine the cause. Dismantle and repair bicycle components, such as add-on drives, switching systems, power supply systems and lightning systems. Adjust mechanical and electronic switchgear, drives, brake systems and chassis components. Check the bicycle's operating fluids and see if it needs refills or changes."
"012d6406-016a-4790-aeb8-853e61058517","maintain sorting equipment","Perform routine maintenance as well as minor repairs on the equipment used for sorting waste and recyclable materials."
"012f9ad1-b95b-42f1-b2c7-3793cdbce443","explain features in accommodation venue","Clarify guests' accommodation facilities and demonstrate and show how to use them."
"0132ac4f-ffac-4396-8b56-052fde0c9d73","types of barley","The different types of barley; their characteristics, and quality."
"013441c1-1f13-47e9-80c4-9a53e8e1bc05","KDevelop","The computer program KDevelop is a suite of software development tools for writing programs, such as compiler, debugger, code editor, code highlights, packaged in a unified user interface. It is developed by the software community KDE."
"0138fdc7-edbb-485c-9aa9-544f723eb62f","purchase vehicle parts","Order specific parts required for maintenance and repair of a wide variety of vehicles."
"013a64b9-5e74-4f7f-af5b-9ec76715238b","inspect offshore constructions","Conduct regular inspections during and after the construction of offshore facilities such as oil platforms to ensure risk minimisation and compliance with regulations."
"01468114-b99c-4f48-9374-a520a7faa9c9","transport patient to medical facility","Assist in lifting and carrying of the patient into the emergency vehicle for transport, and into the receiving medical facility on arrival."
"0156865e-5010-4908-8e0f-ce3aebc2d136","adjust envelope cutting settings","Make sure that the right window cutting and patching standard are used. Prepare this by gumming on the blank with a dry patch and on the window material during its conveyance. Adjust on the basis of window, gum, and patch position and level of evenness."
"0157feec-52c2-4764-b83d-2d017ce8e49d","prepare oils","Select the appropriate oils for the client, mix and blend them in order to create individualised compounds with specific needs and ratios for clients, keeping records of applied treatments and the blends used during the therapy."
"015b0162-6dd3-4d46-bbfd-325086155dd5","purchase supplies","Purchase and replenish supplies; make sure that all required goods are available in stock."
"015cd017-b146-4c9d-ab10-5dfca451c30a","pursue excellence in the creation of food products","Try to develop food products in their most qualitative form possible."
"0162b701-6bb4-400a-b557-7996053d7daf","maintain personal hygiene standards when cleaning","Make sure to keep yourself clean and tidy and wear protective equipment when performing cleaning activities, as required by the health and safety procedures of the task or the organisation."
"0167ee96-f478-4383-afe6-aabf387da5b3","liaise with typists","Give instructions to typists about the addressees, the appropriate format, the number of copies required, etc. for them to type the final documents."
"016cee6c-9e95-466c-bd51-d63327751aa2","assess railway operations","Review and study existing railroad equipment, facilities, systems and processes in order to improve railway safety and efficiency, increase quality, and reduce costs."
"016e7bf4-fe86-4a1f-ace1-54e5b697293d","practise extreme sports","Practise action sports considered to have a high level of inherent danger and involving speed, height, a high level of physical exertion, and highly specialized gear."
"0171653e-c8e9-4c24-bb86-a4b6fe038f25","adopt ways to foster biodiversity and animal welfare","Engage in behaviours that help maintaining stable ecosystems and combatting mass extinction, for example by making conscious dietary choices that support organic food production and animal welfare. "
"0174a9e6-bf12-4ac3-bfc3-0a5469410f18","provide chaperone for children on set","Make sure there is always a chaperone present on the set when recruiting underage children to perform in a motion picture."
"01755f08-4df4-4cf0-8d22-08f94cad68b5","organise labour","Organise, allocate and coordinate members of the team. Organise production programmes and plan the production and sales. Purchase materials and equipment. Manage stocks."
"017738e7-7d12-4e87-a580-8523405bab96","use glass engraving tools","Use engraving tools which use steel, stone or copper wheels according to the kind of glass or glassware."
"017d3b78-ebfa-431d-acc5-8050e9b0fdc8","operate wrecking ball","Use a wrecking ball to demolish a structure or parts of it. Hoist the wrecking ball into the air with a crane. Drop the ball or swing it in a controlled manner to hit the structure. Prevent misses as the weight and momentum of the ball may destabilise the crane."
"018164df-2814-4926-bdf7-398d86b9dfe6","evaluate garment quality","Evaluating stitching, construction, attachments, fasteners, embellishments, shading within the garment; evaluating pattern continuity-, matching; evaluating tapes and linings."
"01819474-b960-4b8f-b020-2da26518d43a","apply for refunds","Make inquiries at the supplier in order to return, exchange or refund goods."
"01895f13-1989-4756-80d6-9b9ee19ddb32","perform a feasibility study for building management systems","Perform the evaluation and assessment of the potential of a building management system. Realise a standardised study to determine the energy saving contribution, costs and restrictions, and conduct research to support the process of decision making."
"0189f448-179e-47cc-9716-c5c3ac4b1aec","Absorb (learning management systems)","The learning system Absorb is an e-learning platform for creating, administrating and delivering e-learning education courses or training programs for secondary school students."
"0194a8eb-c262-411a-ad3f-f3d587630562","peform small vessel administrative duties","Fulfil administrative and labour requirements. Plan provisioning, receipt and stowage. Release the ship in accordance with current regulations."
"0196d283-9b1a-43a5-b219-43580c7cf560","cosmetics ingredients","A variety of sources cosmetics are composed of ranging from crushed insects to rust."
"01a6e6ae-32d5-440a-bdb3-c9ed8a1f57c0","human dynamics as part of hospitality security","The characteristics of human behaviour and human interaction and dynamics to ensure their security in hospitality establishment."
"01c03003-516d-43c6-8477-45c472413521","advise on construction materials","Provide advice on and test a wide range of construction materials."
"01c4bbed-0449-44c9-9c05-48c30ffdcc22","maintain rotating equipment","Perform routine maintenance on rotating equipment to ensure that it is clean and in safe, working order."
"01cea4d4-41fa-42a2-9bf7-7ba0a8f439c1","manage volunteers in second-hand shop","Coordinate a staff of volunteers for duties in a second-hand store."
"01d3d692-dcba-4544-82d2-fc27726bdbbc","pump products for storage","Store tanks or other equipment to process bleached paper pulp for further steps in the paper-making procedure."
"01d80f57-3906-44e9-8592-fd1bd8a35808","medico-biological and medical sciences related to dentistry","The behavioral component and the social environment  which impact the health of humans, in respect to dentistry."
"01e5d2e2-d368-4fb9-9be9-9923146482c4","attend to detail in casting processes","Attend in the metal processing casting work to specificities and details concerning the quality of the casting and moulds."
"01e66e1c-97d9-4829-bee1-f3ab649161e8","biomedical science","The principles of the natural sciences applied to medicine. Medical sciences such as medical microbiology and clinical virology apply biology principles for medical knowledge and invention."
"01e7dee7-3ff1-4807-acad-058dbed91aba","keep up to date on product knowledge","Gather the latest information on developments related to the existing or supported products, methods or techniques."
"01f10952-cb59-4347-9aee-d4fbc51c870a","write Hungarian","Compose written texts in Hungarian."
"01f91b5b-3e2f-40a2-ab88-bc8113c0ab37","monitor drilling fluid","Monitor and maintain the drilling fluids, or ""mud"". Add different chemicals to the fluid to perform various function in well operations: keep the drill bit cool, provide hydrostatic pressure, etc."
"01faf296-e037-494c-bb1c-65bda5aed750","develop efficiency plans for maritime shipping","Arrange the most efficient use of cargo space and vessel movement; monitor the number of available cranes and dock space; and assess the physical condition of ships and impact of cargo weight on the stability of ships."
"01fec851-b5f4-419b-940a-3b4c835adfa8","tend packaging machines","Tend packaging machines such as filling, labelling, and sealing machines. Stock and sort products to be processed according to specifications. Replenish packaging supplies as required, such as boxes, cartons, wrapping paper, plastic sheet, glue, ink, or labels."
"01ffbbf3-0c62-45e0-92d9-01a86dc7c81d","advise on clay products handling","Advise other workers on the covering of end-products with tarpaulin."
"0200e5e6-218d-4dae-b1ab-250382250ecb","maintain drilling equipment","Maintenance and repair of a variety of drilling equipment."
"02053349-bc3a-4945-bcf7-33d2136c14d5","control tree diseases","Identify diseased or undesirable trees. Remove them using power saws or hand saws."
"0207f83d-a1e4-4b47-b80c-84d41257791f","analyse the artistic concept based on stage actions","Analyse the artistic concept, form and structure of a live performance based on observation during rehearsals or improvisation. Create a structured base for the design process of a specific production."
"020918ef-4b55-47c1-8430-ab7b8f6a7377","migrate existing data","Apply migration and conversion methods for existing data, in order to transfer or convert data between formats, storage or computer systems."
"020b3c27-bae1-4b85-9d6f-eccee0f5ed99","manage supplies","Monitor and control the flow of supplies that includes the purchase, storage and movement of the required quality of raw materials, and also work-in-progress inventory. Manage supply chain activities and synchronise supply with demand of production and customer."
"02137a68-6860-45e8-8e4d-38db467bb8b6","human factors regarding safety","The considerations and implications for human safety."
"021cf226-3dac-4712-9738-24bf0952c064","perform roof maintenance","Recommend and perform maintenance and repair work such as fixing broken shingles, replacing flashing, clearing debris and securing the gutters."
"0227a4f4-f979-4e5a-bd11-93744f339246","types of digesters","This includes the stationary and rotary steam digesters, which cook wood chips in an acid solution to make pulp for use in the manufacture of paper."
"022dc430-872a-473a-9cf4-fed4895e58ad","define database physical structure","Specify the physical configuration of database files on a given media. This consists of in-detail specifications of indexing options, data types and data elements placed in the data dictionary."
"0232e2ee-5535-46e0-9c64-ea80c896c62f","lay stones","Place stone blocks or paving stones, which have been cut to the right size and thickness beforehand, to build stone walls and stairs, to lay pavement or to insert door and window frames."
"0234bf2c-0483-4953-be59-edc2fcdd9e4b","assemble circus rigging equipment","Assemble and fit-up circus rigging equipment based on instruction or technical rider or description."
"0238dd62-d407-4a87-ae0c-e08cd7b4ea8d","manage documentation of prior learning assessments ","Agree upon competencies that are to be assessed. Establish the assessment protocol and develop templates to record the assessment decisions. Establish a communication plan. Distribute relevant assessment documents to authorities, clients, or colleagues according to this plan."
"023e4b09-a193-4c2b-9009-f7dc9326a19b","perform oral health diagnosis","Inquire about the state of oral hygiene, perform an examination, do imaging investigations and interpret the findings to set a diagnosis."
"023f4870-b417-4bd2-b0ae-78e61587c79f","geomatics","The scientific discipline that studies gathering, storing, and processing geographic information."
"023faef3-0633-436d-8b91-389c45c1421c","contamination exposure regulations","The regulations concerning exposure to contaminated materials or a hazardous environment which regulate the actions surrounding risk assessment, minimisation of further exposure, quarantine, and treatment of the exposed persons."
"024037ca-96a9-4cb8-ba86-2cd5a209c90a","Maltego","The platform Maltego is a forensic application that uses data mining to deliver on overview of organisations' environment, testing security weaknesses of the system for potentially unauthorised access and demonstrates the complexity of infrastructure failures."
"0240c5a8-d8ec-4cd5-948f-4649334c01b8","search historical sources in archives","Search archives in order to find the sources needed for historical research."
"024910a2-1ee8-4f07-bac6-33b577d9392e","supervise performers' fights","Communicate expectations and targeted results, transmit the fight sequences, and technical aspect of the fighting discipline, etc. Help the performers/dancers internalise the fights sequences and fighting techniques. Supervise them in action and motivate and help them them achieve their maximum potential. Make performers them aware of the associated risks. Get performers to rehearse fights."
"0253b09a-7217-43fc-b62f-e6b23ffebac9","develop script bible","Create a document, called the script or story bible, with all the information about the characters and settings of the story."
"0256f6b0-f4a9-4c5e-9cfd-96d58a2a70fe","operate radio equipment","Set up and operate radio devices and accessories, such as broadcast consoles, amplifiers, and microphones. Understand the basics of radio operator language and, when necessary, provide instruction in handling radio equipment correctly."
"02619401-8e21-46e5-8f19-204747fd755d","remove contaminated materials","Remove materials and equipment which are contaminated with hazardous substances in order to protect the surroundings from further contamination and to treat or dispose of the contaminated materials."
"026db24f-6972-460b-a784-d34afaf8d498","inspect paint quality","Inspect paint to ensure it is of a good quality by testing the viscosity, homogeneity and other factors."
"027f47ba-2435-47dc-9fd3-5f05c6a52e93","styles of boxes","Different styles of boxes in Europe. These are defined by a 4-digit code and specified by the European Federation of Corrugated Board Manufacturers (FEFCO). The styles are more an example of complicated and special box designs."
"02820870-3b92-480b-8475-8a521563ea3c","collect property financial information","Collect information concerning the previous transactions involving the property, such as the prices at which the property had been previously sold and the costs that went into renovations and repairs, in order to obtain a clear image of the property's value."
"0295b2a4-fb86-495f-9547-d479532fc4c2","trace financial transactions","Observe, track and analyse financial transactions made in companies or in banks. Determine the validity of the transaction and check for suspicious or high-risk transactions in order to avoid mismanagement."
"029e2bb0-6dd8-4600-bb89-ac7480ae8fb0","contribute to quality physiotherapy services","Participate in activities that promote quality, particularly in the acquisition and evaluation of equipment, resources, safe storage and supply management."
"02a78cf3-8b31-4911-bcad-c989a1b7ff40","install radtors","Install heat exchangers that transfer thermal energy to heat or cool their environment. Connect the pipes to the central heating system."
"02ae2a55-4b7c-41d2-86ec-9a2a38b73fe6","advise on care products for pets","Provide advice on basic care products, such as supplements and vitamins, that can be used on various types of pets."
"02b6350e-433a-42b1-b620-92fc53b9a14d","operate remote sensing equipment","Set up and operate remote sensing equipment such as radars, telescopes, and aerial cameras in order to obtain information about Earth's surface and atmosphere."
"02bbd0fb-b108-49a8-9c48-5b0c447d3fdf","calculate stairs rise and run","Calculate the appropriate measures for the rise and run of each stair, taking into account the total height and depth of the stairs, any floor covering, and the range of stair measurements that allow comfortable use."
"02bf9522-bd6e-4482-be03-1827483be21a","first aid for animals","Animal emergency treatment, including the principles and aims of the provision of first aid treatment to animals."
"02c1a369-f1e7-4f8e-8882-d7ded57f9cf4","empathise with outdoor groups","Identify the outdoor activities permitted or suited in an outdoor setting based on the group's needs. "
"02c462b7-b93b-44a7-ba3a-9d3b7a163f51","provide context to news stories","Provide substantial context to national or international news stories to explain things in more detail."
"02c71cde-f513-43da-8952-0974763c7568","circuit diagrams","Read and comprehend circuit diagrams showing the connections between the devices, such as power and signal connections."
"02c7caf4-4e8b-4745-8917-dbbd3af17c28","draw up artistic production","File and document a production in all its phases right after the performance period so that it can be reproduced and all relevant information remains accessible."
"02d5c52b-e7f9-4d8c-adc2-d0332f49535b","install passenger service units","Install PSUs in ceiling of an aircraft by using hand and power tools."
"02d68c2b-1722-4440-8e25-376650e123c8","understand written Korean","Read and comprehend written texts in Korean."
"02e0b3e9-c9e0-4063-983b-b5a7697e0f78","keep records of bridge investigation findings","Register the results of bridge investigations and send them to the appropriate authorities."
"02e1ca57-0715-438b-886d-f0f938ac3efc","sand blasting machine parts","The various parts of a type of sand blasting machinery, their qualities and applications, such as a treadle, blast nozzle, dust collecter, filter, abrasive materials and others."
"02e22093-3436-46a8-8dc5-b041bc4800cc","create model","Create sketches, drawing, three-dimensional models, and models in other media in preparation for a work of art. "
"02e235f4-a30a-412a-a06e-1c471ad28678","follow procedures to control substances hazardous to health","Adhere to the Control of Substances Hazardous to Health (COSHH) procedures for activities that involve hazardous substances, such as bacteria, allergens, waste oil, paint or brake fluids that result in illness or injury."
"02eeea19-76db-4d19-bb8b-a649c0fbe796","assess visual impact of displays","Analyse feedback from customers and co-workers on the visual impact of displays and showcases. Implement changes where needed."
"02f115d8-9e14-499c-97c1-f9eac282edc5","select glassware for serving","Choose appropriate glassware for beverages and inspect glass quality and cleanliness."
"03006fd3-254f-44bc-aa8f-dfe1c727463e","cardiovascular system","The cardiovascular system including the anatomy, physiology, and pathophysiology of the circulatory system in health and disease."
"0302f93a-0d38-4c00-bc37-eda17b6316ea","biosecurity related to animals","Awareness of hygiene and bio-security measures when working with animals, including causes, transmission and prevention of diseases and use of policies, materials and equipment."
"030de41b-bb8b-4e4b-859c-9afd4c17605b","check information on prescriptions","Verify the information on prescriptions from patients or from the doctor`s office ensuring that it is complete and accurate."
"03134e63-81eb-439a-b6eb-7de49ae01bbd","assume responsibility for maintaining a safe ship environment","Ensure a safe on board environment for crew and passengers."
"031bfd8d-af80-4606-b4bb-6de4d5da6249","follow hygienic practices in fishery operations","Comply with the right regulations and practices for hygienically handling fishery related tasks and responsibilities in fishery operations."
"03227978-f839-4cc8-88a6-0a3c44d2c776","supervise work on design planning","Supervise the work in progress at the design stage and on site."
"032867c3-3c53-42ad-aabe-030eeb6292ab","measure trees","Take all relevant measurements of a tree: use a clinometer to gauge the height, tape to measure the circumference, and increment borers and bark gauges to estimate the growth rate."
"0329ab41-3212-4e4f-8112-9e9ff5217f7b","bend staves","Use various techniques to give the wooden planks the desired curve, such as softening the wood in steam tunnels and then replacing the working hoops with stronger hoops."
"032a4ab8-1034-4541-8037-b2cdcc7fd19a","select music for performance","Select pieces of music for a live performance. Consider factors such as ensemble abilities, availability of scores and the need for musical variety."
"032b0bed-22b1-456b-8009-91e6b838fe45","geological mapping","The technique used to create maps that clearly illustrate the geological features and rock layers of an area that may be useful for mining projects and geological explorations."
"03305638-bd08-410a-a960-f963ad89cce6","tend electron beam welding machine","Tend a metalworking machine designed to join metal pieces by use of an electron beam exuding a concentrated heat source, monitor and operate it according to regulations."
"0332f526-6dc0-4f09-8a7c-2b9473c50736","ensure infrastructure accessibility","Consult designers, builders, and people with disabilities to determine how best to provide accessible infrastructure."
"03353964-657a-4737-9afc-1ca9ec04195b","inspect table settings","Control table settings in order to ensure a correct table setup, including cutlery and glassware."
"0337c577-f837-4518-9263-b753c24f3a21","drive automatic car","Drive a vehicle operated under an automatic, or self-shifting, transmission system safely and according to regulations."
"033d6175-fa43-4d75-8e2c-6df348ffa0c8","prepare intravenous packs","Under a pharmacist`s supervision, add measured drugs or nutrients to intravenous solutions to prepare intravenous packs ensuring the process is done under sterile conditions."
"03459358-3f0f-4b13-a143-890e2da798d3","configure electronic equipment","Ensure that electronic equipment is set up correctly."
"034c29fa-c3ba-45ea-b8f3-bf8e3705e386","Erlang","The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Erlang."
"03500955-88a6-4c3d-a8c0-7594409dcff0","operate specialised equipment in emergency","Operate equipment such as external defibrillators and bag-valve mask resuscitators, spinal and traction splints and intravenous drips in advanced life-support environments, taking electrocardiograms when required."
"03520ff5-9e68-434b-91fa-3ced9c085159","plan retail space","Effectively distribute retail space allotted to particular categories."
"03589d0d-a6f0-4d68-b5eb-dafbc6833efe","write leaflets","Create flyers such as recruitment flyers in order to recruit people or publicity flyers in order to contribute to the development of publicity campaigns."
"03598f35-15f1-41fa-bd8a-313e74523307","use jewellery equipment","Handle, modify, or repair jewellery-making equipment such as jigs, fixtures, and hand tools such as scrapers, cutters, gougers, and shapers."
"0359f76c-3ef3-4e52-abcf-1b2b32ed20a5","taste wines","Taste wines to have a sensory examination and evaluation of wine, and to check wine appearance and evaluate characteristics such as the in glass aroma, the in mouth sensations and the aftertaste."
"035afc40-e8fc-448f-b287-1a973fb5aa93","manufacturing of taps and valves","The manufacture of industrial, sanitary or heating taps and valves."
"0361c099-da6c-404e-984b-a8b8a0c017d1","check sensorial parameters of oils and fats","Check sensorial parameters of olive oils, seed oils and edible fats such as taste, smell and touch."
"0377c027-2839-4b30-9acb-bb68daf925f5","maintain coquille parts","Carry out minor repair tasks and maintenance of coquilles and coquille parts."
"037b5e5f-db3c-40cd-864e-5b9b9a3a080d","understand spoken Hungarian","Comprehend orally expressed Hungarian."
"037c8da7-6a0d-42b8-b979-c4abe7c92d48","schedule maintenance of airport electrical systems","Schedule maintenance for each individual element of an airport electrical system. Set the frequency for maintenance of the different elements while monitoring overall airport operations."
"038256f5-7b18-4e6f-8314-2401be1b601b","provide pre-hospital emergency care of trauma","Provide pre-hospital emergency medical care of simple and multiple system trauma, controlling haemorrhage, treating shock, bandaged wounds and immobilising painful, swollen, or deformed extremities, neck, or spine."
"038a6d0f-787f-4f71-aac6-bd54e16c57cf","history of tobacco","The different stages and developments of tobacco cultivation, cultural particularities and trading through time. "
"03a0ab28-ce99-4e14-baf8-a66c55da28f8","carry out event management","Plan and execute all the technical and logistical aspects required for an event to be successful."
"03a53283-d3ee-41c1-ab3e-eb806616440e","understand spoken Welsh","Comprehend orally expressed ​Welsh."
"03a74eee-2dc6-4147-8667-5cdeb65f122d","manage ICT data classification","Oversee the classification system an organisation uses to organise its data. Assign an owner to each data concept or bulk of concepts and determine the value of each item of data."
"03aa85d2-9a67-455f-b901-595e685afdd2","keep sheet records","Record numbers of a specific sheet cut sequence by placing serial numbers on stock cut and issued revenue stamps."
"03af6b34-0137-4337-8a7f-521dbef4925f","brush rubber cement","Brush rubber cement on closures and valves or on the sides of the already processed rubber plies."
"03b9453e-d14d-46bc-baf5-f6a6fbaa3bb7","develop leather goods collection","Transform leather goods design ideas and concepts into prototypes and, finally, a collection. Analyse and check the designs from various angles like functionality, aesthetics, performance and manufacturability. Manage the development process of all the leather goods prototypes in order to meet the customer’s needs and to properly balance quality with production costs."
