qId,Job,metadata,Edu_essential,Edu_optional,AgeMin,AgeMax,City,Competence_essential0,Competence_essential1,Competence_essential2,Competence_essential3,Competence_optional0,Competence_optional1,Competence_optional2,Knowledge_essential0,Knowledge_essential1,Knowledge_essential2,Knowledge_essential3,Knowledge_optional0,Knowledge_optional1,Knowledge_optional2,Language_essential0,Language_essential1,Language_optional0,Language_level0,Language_level1,Language_level2,Experience_essential,Experience_optional
16,aquaculture recirculation technician,{'group': '6221'},Less-than-degree,-,18,38,Serralunga di Crea,hatchery recirculation system operating,maintain specified water characteristics,identify risks in aquaculture facilities,apply fish treatments,plan the work of teams and individuals,maintain internal communication systems,stimulate teambuilding,water reuse,types of recirculation systems,-,-,-,-,-,Spanish,Italian,-,A1,B2,-,1,True
17,automotive battery technician,{'group': '7412'},Degree,-,23,37,Pravisdomini,wear appropriate protective gear,use documentation that is technical,operate battery test equipment,-,battery components repairing,store records of work milestone and deadline targets,dispose of hazardous waste,hybrid classification,battery types,battery chemistry,-,-,-,-,Italian,English,-,B2,C1,-,2,False
18,lyricist,{'group': '2641'},Bachelor-D.,Master-D.,21,41,Ghedi,write songs,match lyrics to mood of melody,-,-,write musical scores,transcribe musical compositions,-,musical theory,musical genres,copyright legislation,-,film music techniques,-,-,Spanish,English,Italian,C1,Any,Any,1,False
19,environmental technician,{'group': '2133'},Bachelor-D.,-,26,33,Taranto,collect samples for analysis,advise on environmental risk management systems,-,-,monitor legislation developments,avoid contamination,-,metrology,laboratory techniques,environmental legislation,chemistry,-,-,-,Albanian,-,-,B2,-,-,3,True
20,nursing lecturer,{'group': '2310'},Bachelor-D.,-,21,41,Giarre,write work-related reports,guarantee students' safety,compile course material,-,promote open innovation in research,perform project management,establish collaborative relations,primary care,general medicine,curriculum objectives,-,scientific research methodology,-,-,Spanish,-,-,A2,-,-,2,True
21,public housing manager,{'group': '1344'},Degree,Bachelor-D.,19,26,Pavia,sustain relations with local  spokespersons,demonstrate leadership in social service cases,deliver arguments in favor of others,observe organisational guidelines,respond to enquiries,perform project management,-,social sciences,development and principles of human rights,-,-,welfare statutes,-,-,Spanish,Italian,-,B1,B2,-,-,False
22,import export manager in machine tools,{'group': '1324'},Bachelor-D.,-,26,46,San Calogero,speak a different language,direct distribution operations,-,-,-,-,-,international import export legislation,import export regulating of dangerous chemicals,export regulations of dual-use goods,export control principles,-,-,-,Italian,French,Chinese,Any,Any,Any,2,False
23,dog trainer,{'group': '5164'},Less-than-degree,Degree,20,30,Lucera,provide animal training,provide an enriching environment for animals,monitor the welfare of animals,implement training programmes for animals,-,-,-,biosecurity related to animals,animal welfare,animal behaviour,-,-,-,-,French,English,-,Any,B2,-,1,True
24,finished leather warehouse manager,{'group': '1324'},Degree,-,18,35,Padova,use communication techniques,monitor operations,identify with the company's vision and goals,exert a leadership role towards colleagues,manage distribution channels,-,-,quality control systems,health and safety in the workplace,-,-,spray finishing technology,physico-chemical properties of hides and skins,leather technology,French,-,-,Any,-,-,-,False
25,motor vehicles parts advisor,{'group': '5223'},Less-than-degree,-,18,24,Portogruaro,process payments,load products for dispatch,check vehicle parts on delivery,-,use customer relationship management software,operate forklift,-,parts pricing,inventory management rules,-,-,supply chain management,export control principles,electrical wiring plans,Italian,French,-,A1,Any,-,2,True
26,mental health social worker,{'group': '2635'},Less-than-degree,-,19,26,Colliano,work in a multicultural environment in health care,undertake continuous professional development in social work,provide support to social services users,address problems critically,work with patterns of psychological behaviour,-,-,social sciences,social justice,-,-,-,-,-,French,-,English,Any,-,Any,1,True
27,conceptual artist,{'group': '2651'},Less-than-degree,Degree,16,24,Mezzojuso,make artistic processes explicit,maintain an artistic portfolio,-,-,use artistic materials for drawing,develop artistic project budgets,develop animations,labour legislation,intellectual property law,art history,-,-,-,-,Italian,French,English,Any,C2,Any,1,True
28,primary school head teacher,{'group': '1345'},Degree,-,23,33,Cortemilia,monitor educational developments,manage enrolment,analyse staff capacity,-,promote education programmes,manage resources for educational purposes,maintain relations with children's parents,project management,primary school procedures,pedagogy,curriculum objectives,assessment processes,-,-,Spanish,Italian,-,Any,B1,-,-,False
29,corporate treasurer,{'group': '1211'},Degree,Bachelor-D.,20,28,Cervaro,plan medium to long term objectives,manage budgets,evaluate budgets,analyse financial risk,-,-,-,investment analysis,financial forecasting,-,-,risk transfer,property law,insurance market,Spanish,-,Italian,B2,-,Any,1,True
30,waste management supervisor,{'group': '3122'},Master-D.,-,27,41,Torino,supervise worker safety,supervise waste disposal,liaise with managers,design plant waste procedures,instruct employees on radiation protection,-,-,waste management,"health, safety and hygiene legislation",-,-,-,-,-,German,-,English,C1,-,Any,2,False
31,computer shop manager,{'group': '1420'},Degree,Bachelor-D.,18,25,Afragola,supervise merchandise displays,oversee promotional sales prices,monitor customer service,adhere to organisational guidelines,place orders for computer products,advise customers on type of computer equipment,-,sales activities,multimedia systems,hardware platforms,hardware architectures,-,-,-,Spanish,-,-,C2,-,-,3,False
32,lithographer,{'group': '7321'},Degree,Bachelor-D.,20,34,Monasterolo di Savigliano,prepare printing form,maintain lithographic printing plates,ink printing plates,-,store negatives,order supplies,manage offset printing process,screen printing inks,printing techniques,printing materials,offset printing,-,-,-,Spanish,-,-,C1,-,-,1,True
33,cider master,{'group': '2145'},Master-D.,-,24,39,Torino,measuring acidity,maintain updated professional knowledge,-,-,perform public relations,manage fruit juice extraction processes,analyse production processes for improvement,mashing operation,biochemical processes of cider production,-,-,-,-,-,Spanish,English,-,A1,A1,-,-,False
34,aircraft assembly inspector,{'group': '7543'},Degree,Bachelor-D.,22,35,Marino,read engineering drawings,manage health and safety standards,inspect quality of products,inspect aircraft manufacturing,prepare audit activities,inspect aircraft for airworthiness,-,quality assurance procedures,mechanics,engineering processes,common aviation safety regulations,electromechanics,defense system,-,French,-,-,A2,-,-,2,False
35,mechatronics engineering technician,{'group': '3115'},Master-D.,-,29,43,Campiglia Marittima,record test data,prepare production prototypes,inspect quality of products,fasten components,set up automotive robot,-,-,quality standards,mechatronics,design drawings,-,telecommunications engineering,pneumatics,optoelectronics,Italian,-,-,C1,-,-,-,False
36,import export manager in household goods,{'group': '1324'},Degree,Bachelor-D.,20,25,Torino,set import export strategies,complete financial risk management in international trade,administer conflict management,abide by business ethical code of conducts,-,-,-,international import export regulations,international commercial transactions legislation,export control foundations,-,-,-,-,Spanish,English,Italian,A1,Any,Any,1,False
37,wash deinking operator,{'group': '8171'},Degree,Bachelor-D.,21,35,Terlano,use deinking chemicals,monitor chemical process condition,-,-,record production data for quality control,undertaking treatment of water,-,types of pulp,quality standards,deinking processes,-,-,-,-,Italian,-,-,Any,-,-,2,True
38,leather goods maintenance technician,{'group': '8156'},Less-than-degree,-,17,23,Riva del Garda,maintain footwear assembling equipment,communicate commercial and technical issues in foreign languages,-,-,plan supply chain logistics for footwear and leather goods,use automatic cutting systems for footwear and leather goods,innovate in footwear and leather goods industry,leather goods quality,materials for leatherwear,leather goods manufacturing processes,-,-,-,-,Spanish,-,-,Any,-,-,1,False
39,casino gaming manager,{'group': '4212'},Master-D.,-,25,30,Acquaviva delle Fonti,managing a team,act in accordance with safety rules in gaming room,-,-,scheduling of gaming tables,establish gaming policies,-,corporation's policies,casino's policies,casino game rules,-,-,-,-,Spanish,Italian,-,Any,Any,-,2,True
40,wood boring machine operator,{'group': '7523'},Degree,-,18,38,Torino,erect the controller of a machine,mould wood,secure apparatus availability,-,watch over Computer controlled boring machinery,sanding wood,keep records of work progress,sorts of wood,types of drill bits,"categories of drill, gouging and probing heads",quality standards,-,-,-,Italian,-,-,C1,-,-,3,True
41,ICT network architect,{'group': '2523'},Master-D.,-,28,48,Taranto,define technical requirements,define ICT network design policies,-,-,provide cost benefit analysis reports,implement spam protection,-,business process modelling,ICT security legislation,ICT networking hardware,ICT network routing,network management system tools,ICT network simulation,-,Chinese,-,-,C1,-,-,2,True
42,aircraft de-icer installer,{'group': '7232'},Less-than-degree,-,18,30,Lardirago,use technical documentation,troubleshoot,fasten components,apply health and safety standards,keep records of work progress,install electrothermal de-icing systems,install bleed air systems,quality standards,mechanics,common aviation safety regulations,aircraft mechanics,pneumatics,engineering principles,-,Italian,-,-,A2,-,-,1,True
43,business intelligence manager,{'group': '2421'},Bachelor-D.,-,22,31,Voghera,monitor company policy,manage project metrics,ensure compliance with policies,-,make strategic business decisions,keep updated on innovations in various business fields,-,statistics,statistical analysis system software,corporate social responsibility,business analysis,risk management,-,-,French,English,-,A2,B2,-,-,False
44,epidemiologist,{'group': '2131'},Master-D.,PhD,26,43,Sant'Antimo,synthesise information,promote open innovation in research,apply statistical analysis techniques,-,teach in academic or vocational contexts,develop vaccines,develop communicable disease control policies,public health,epidemiology,communicable diseases,biometrics,statistical analysis system software,professional documentation in health care,microbiology-bacteriology,Bengali,-,-,Any,-,-,3,True
45,supreme court judge,{'group': '2612'},Master-D.,-,27,35,Salerno,supervise court hearings,make legal decisions,direct juror activities,-,implement knowledge of human behaviour,-,-,criminal law,court procedures,correctional procedures,-,-,-,-,Spanish,English,-,Any,Any,-,4,False
46,groundsman/groundswoman,{'group': '6113'},Less-than-degree,Degree,17,25,Bacoli,clearing ground for turfing,prepare ground for construction,landscaping maintaining,chemical products handling for soil and plants,plant growing,-,-,techniques for pest control in plants,scope of horticulture practices,scope of environmental legislation in in agriculture and forestry,ecology,rainwater management,pruning techniques,range of crop production principles,Italian,Bengali,-,B1,C2,-,2,True
47,power electronics engineer,{'group': '2152'},Master-D.,-,29,45,Oggiono,prepare production prototypes,develop electronic test procedures,define technical requirements,conduct quality control analysis,design integrated circuits,define manufacturing quality criteria,-,physics,integrated circuits,engineering principles,-,CAD software,-,-,Spanish,Italian,French,Any,B2,Any,3,True
48,chain making machine operator,{'group': '7223'},Less-than-degree,-,18,30,Taranto,perform test run,operate hand tools in chain making,ensure equipment availability,-,operate soldering equipment,-,-,types of metal,types of chain,quality standards,-,-,-,-,French,English,Spanish,B2,Any,Any,-,False
49,airport director,{'group': '1324'},Degree,-,23,38,Casoli,work in an aviation team,use different communication channels,create solutions to problems,-,prepare airport emergency plans,prepare airport annual budget,plan event marketing for promotional campaigns,airport operating environment,airport environmental regulations,-,-,-,-,-,French,English,-,Any,Any,-,1,False
50,prepared meals nutritionist,{'group': '2265'},Bachelor-D.,-,21,28,Montalto Uffugo,identify properties of nutritional food,analyse trends in the food and beverage industries,-,-,performing market research,develop new food products,organise samples for analysis,the functional properties of foods,human nutrition,combination of flavours,-,-,-,-,Spanish,Italian,-,A1,Any,-,-,False
51,computer science lecturer,{'group': '2310'},Master-D.,PhD,28,44,Racalmuto,teaches computer science,compose course material,help students with equipment,-,keep records of attendance,-,-,Common Lisp,Adobe Illustrator,ABAP,-,principles of AI,computer history,-,Italian,-,Romanian,Any,-,Any,2,False
52,oxy fuel burning machine operator,{'group': '7223'},Less-than-degree,-,19,28,Paterno,troubleshoot,perform test run,monitor automated machines,-,program a CNC controller,monitor stock level,inspect quality of products,types of metal,quality standards,flammable fluids,-,statistical process control,quality and cycle time optimisation,manufacturing of doors from metal,German,Arabic,-,A1,Any,-,2,True
53,Steiner school teacher,{'group': '2341'},Master-D.,PhD,25,32,Trani,track student's progress,maintain relations with children's parents,guarantee students' safety,demonstrate when teaching,organise creative performances,take care of children's basic physical needs,-,learning difficulties,assessment practices,-,-,-,-,-,German,Albanian,-,A1,Any,-,4,False
54,animator,{'group': '2166'},Master-D.,-,27,45,Corigliano Calabro,provide multimedia content,follow work schedule,develop animations,adapt to type of media,-,-,-,multimedia systems,graphic design,computer equipment,ICT software specifications,Microsoft Visio,-,-,Romanian,Arabic,-,Any,B1,-,1,True
55,landfill supervisor,{'group': '3112'},Master-D.,-,28,38,San Giovanni la Punta,supervise staff,schedule regular machine maintenance,-,-,train staff on waste management,test safety strategies,manage accounts,waste transport legislation,waste management,waste and scrap products,-,hazardous waste types,hazardous waste storage,accounting techniques,French,-,-,C2,-,-,2,False
56,supply chain manager,{'group': '1324'},Degree,-,20,26,Marano di Napoli,maintain relationship with suppliers,analyse supply chain strategies,-,-,ensure equipment availability,-,-,supply chain principles,supply chain management,product data management,corporate social responsibility,risk management,conflict management,-,French,English,-,C2,C1,-,1,True
57,microsystem engineering technician,{'group': '3114'},Master-D.,PhD,28,44,Sant'Elia Fiumerapido,set tolerances,reading assembly drawings,microelectromechanical systems integrating,adjust manufacturing designs,-,-,-,testing protocols for micro-systems,micro-electro-mechanical systems,assembly of microscale systems,design drawings,precision measuring instruments,-,-,French,-,-,Any,-,-,1,False
58,labour relations officer,{'group': '2423'},Master-D.,-,24,35,Latina,gather feedback from employees,establish collaborative relations,conflict management application,-,advocate inclusion in organisations,monitor company policy,compromise  in negotiations,state policy execution,employment law,-,-,-,-,-,Italian,-,-,B2,-,-,1,True
59,cultural archive manager,{'group': '2621'},Less-than-degree,Degree,21,37,Magione,manage budgets,document museum collection,-,-,evaluate quality of art,-,-,project management,museum databases,-,-,collection management software,theories of budgeting,art history,Italian,English,German,Any,Any,Any,-,False
60,ICT change and configuration manager,{'group': '2519'},Master-D.,-,24,32,Prato,use scripting programming,upskill employees,-,-,utilise computer-aided software engineering tools,perform software unit testing,applying operations for ITIL-based environments,ICT project management methodologies,ICT process quality models,DevOps,-,embedded systems,Salt (tools for software configuration management),Octopus Deploy,French,English,Italian,A1,B2,Any,1,False
61,industrial machinery mechanic,{'group': '7233'},Degree,-,18,37,Marino,troubleshoot,perform maintenance on installed equipment,-,-,operate welding equipment,operate industrial equipment,install blinds drive systems,pneumatics,hydraulics,electricity,electrical wiring plans,manufacturing of taps and valves,manufacturing of pumps and compressors,manufacturing of office equipment,Italian,English,-,C1,A1,-,-,False
62,hydrogenation machine operator,{'group': '8160'},Less-than-degree,Degree,18,29,Brindisi,monitor oil blending process,be at ease in unsafe environments,-,-,lift heavy weights,liaise with colleagues,interpret data in food manufacturing,temperature scales,hydrogenation processes for edible oils,chemical processes,-,oil seed process,free fatty acid elimination processes,-,German,English,-,A2,C1,-,-,False
63,cocoa press operator,{'group': '8160'},Less-than-degree,-,20,26,Boltiere,separate by-products of pressed cocoa,screen a cocoa bean,complete checks of production plant equipment,be at ease in unsafe environments,perform multiple tasks at the same time,liaising with managers,liaise with colleagues,temperature levels,field of hydraulics,-,-,"health, safety and hygiene legislation",-,-,Chinese,-,English,Any,-,Any,-,False
64,technical sales representative in electronic and telecommunications equipment,{'group': '2434'},Degree,Bachelor-D.,23,28,Lecce,implement marketing strategies,demonstrate motivation for sales,-,-,-,-,-,sales promotion techniques,product comprehension,characteristics of services,characteristics of products,-,-,-,Italian,-,-,B1,-,-,2,False
65,machine operator supervisor,{'group': '3122'},Bachelor-D.,Master-D.,24,43,Ostra,report on production results,communicate problems to senior colleagues,-,-,read standard blueprints,perform machine maintenance,integrate new products in manufacturing,quality standards,production processes,functionalities of machinery,-,quality assurance methodologies,-,-,Chinese,-,-,Any,-,-,1,False
66,ICT application configurator,{'group': '2514'},Degree,Bachelor-D.,19,34,Latina,provide technical documentation,debug software,create flowchart diagram,-,provide ICT consulting advice,manage cloud data and storage,implement ICT safety policies,integrated development environment software,computer programming,ICT debugging tools,-,Java (computer programming),Eclipse (integrated development environment software),-,Bengali,-,-,A2,-,-,1,True
67,translator,{'group': '2643'},Master-D.,PhD,26,36,Cittadella,follow translation quality standards,consult information sources,-,-,use computer-aided translation,perform project management,follow work schedule,spelling,information confidentiality,-,-,linguistics,-,-,Chinese,-,-,B1,-,-,2,True
68,fisheries boatmaster,{'group': '6223'},Degree,-,19,28,Asso,swim,provide on-board safety training,operate ship rescue machinery,coordinate fish handling operations,undertake continuous professional development in fishery operations,coordinate communication during mine emergencies,communicate clearly with passengers,fishing gear,Global Maritime Distress and Safety System,-,-,-,-,-,Italian,-,-,A2,-,-,-,False
69,manufacturing facility manager,{'group': '1219'},Master-D.,PhD,26,36,Torino,plan buildings maintenance,manage manufacturing facilities,manage budgets,ensure equipment availability,-,-,-,supply chain management,electrical power safety regulations,-,-,manufacturing processes,industrial engineering,fire safety procedures,English,-,-,Any,-,-,2,False
70,motor vehicle assembly inspector,{'group': '7543'},Degree,-,19,25,Ciampino,notify supervisor,conduct performance tests,-,-,prepare audit activities,operate precision measuring equipment,issue licences,quality standards,mechanics of motor vehicles,mechanics,European vehicle type-approval legislation,-,-,-,Spanish,English,-,Any,B1,-,-,False
71,sexual violence counsellor,{'group': '2635'},Less-than-degree,Degree,17,31,Bacoli,relate empathetically,facilitate the healing process related to sexual assault,demonstrate leadership in social service cases,-,-,-,-,supervision of persons,social justice,human psychological development,counselling methods,-,-,-,Spanish,Arabic,French,A2,Any,Any,-,False
72,kinesiologist,{'group': '2269'},Master-D.,PhD,29,48,Valdagno,synthesise information,engage public in research,-,-,develop scientific theories,contribute to the rehabilitation process,assist in performing physical exercises,kinanthropometry,applying methods of mechanics to biological systems,-,-,rehabilitation,psychomotor observation and therapy,ergonomics associated with work,Italian,English,-,Any,Any,-,1,False
73,digital games developer,{'group': '2513'},Degree,-,22,39,Torino,use software libraries,use software design patterns,-,-,use concurrent programming,use automatic programming,develop creative ideas,tools for software configuration management,digital game genres,ICT debugging tools,-,augmented reality,OpenEdge Advanced Business Language,Jenkins (tools for software configuration management),Italian,-,-,Any,-,-,2,True
74,brigadier,{'group': '0110'},Degree,-,23,37,Agrate Brianza,manage military logistics,ensure public safety and security,devise military tactics,-,-,-,-,military weaponry,military logistics,-,-,military combat techniques,military code,-,Italian,French,-,B2,B1,-,-,False
75,engine minder,{'group': '8350'},Less-than-degree,Degree,19,29,Pagani,prevent damage to electrical devices on board,preserve ship engine room,ensure vessel compliance with regulations,employ accepted standards in freight transport operations,work in a water transport team,have computer literacy,-,components of combustion engines,physical parts of engines,-,-,-,-,-,Arabic,-,English,Any,-,Any,1,True
76,hydrogenation machine operator,{'group': '8160'},Less-than-degree,Degree,16,32,Bra,perform preliminary operations for oil extraction,assess oil hardness,administer ingredients in food production,-,label samples,-,-,mechanical tools,hydrogenation processes for edible oils,-,-,origin of dietary fats and oils,oil seed process,free fatty acid elimination processes,Italian,French,-,C2,C1,-,-,False
77,irrigation technician,{'group': '7126'},Less-than-degree,Degree,21,35,Palma di Montechiaro,maintain sprinkler systems,install irrigation systems,ensure compliance with environmental legislation,-,organise irrigation,monitor water quality,inspect fire equipment,water pressure,irrigation systems,-,-,water reuse,water policies,fire safety regulations,English,-,-,Any,-,-,-,False
78,armoured car driver,{'group': '8322'},Degree,Bachelor-D.,22,37,Cortenova,interpret traffic signals,handle delivered packages,-,-,manage theft prevention,-,-,security threats,road traffic laws,effective perception of transport environment,-,-,-,-,Chinese,-,-,Any,-,-,-,False
79,digital media designer,{'group': '2166'},Degree,-,20,34,Vallanzengo,manage online content,create website wireframe,convert into animated object,-,perform resource planning,apply technical communication skills,-,web programming,style sheet languages,graphics editor software,copyright legislation,Sass,Ansible,Adobe Illustrator,Spanish,-,-,Any,-,-,2,True
80,doll maker,{'group': '7533'},Bachelor-D.,Master-D.,21,27,Sant'Antimo,perform toys finishing,inspect toys and games for damage,ensure finished product meet requirements,-,-,-,-,toys and games trends,toys and games safety recommendations,toys and games industry,-,materials for doll creation,-,-,Spanish,English,German,B1,B2,Any,-,False
81,gravure press operator,{'group': '7322'},Degree,Bachelor-D.,19,37,Pantelleria,troubleshoot,operate rotary press,follow production schedule,adjust rotogravure press,adjust drying process to goods,-,-,quality standards,printing techniques,printing on large scale machines,-,-,-,-,English,-,-,A1,-,-,3,True
82,second-hand shop manager,{'group': '1420'},Degree,-,21,26,Samugheo,set sales goals,order supplies,maximise sales revenues,maintain relationship with suppliers,-,-,-,sales activities,employment law,-,-,-,-,-,Italian,-,-,A2,-,-,5,False
83,mine development engineer,{'group': '2146'},Bachelor-D.,Master-D.,26,36,Borno,use mine planning software,negotiate land acquisition,manage staff,interface with anti-mining lobbyists,monitor mine costs,-,-,mine safety legislation,impact of geological factors on mining operations,design drawings,-,mathematics,health and safety hazards underground,computational fluid dynamics,Russian,Italian,-,Any,B1,-,-,False
84,horticulture production manager,{'group': '6113'},Less-than-degree,-,20,30,Taranto,prune plants,make independent operating decisions,-,-,prepare planting area,prepare flower arrangements,handle veterinary emergencies,pruning types,horticulture principles,-,-,food safety principles,agronomical production principles,agricultural business management,Spanish,-,English,A1,-,Any,1,True
85,3D modeller,{'group': '2166'},Master-D.,-,24,43,Pergine Valsugana,operate 3D computer graphics software,create 3D texture map,create 3D environments,-,perform data mining,draw design sketches,animate 3D organic forms,augmented reality,3D texturing,3D lighting,-,Microsoft Visual C++,AJAX,-,English,-,-,C1,-,-,1,False
86,leather goods finishing operator,{'group': '7536'},Degree,Bachelor-D.,21,34,Morlupo,apply footwear finishing techniques,apply basic rules of maintenance to leather goods and footwear machinery,-,-,-,-,-,leather goods quality,leather goods components,-,-,-,-,-,Spanish,French,-,B2,Any,-,-,False
87,elderly home manager,{'group': '1343'},Degree,-,23,36,Chiaverano,undertake continuous professional development in social work,relate empathetically,manage budgets for social services programs,-,involve service users and carers in care planning,contribute to protecting individuals from harm,-,social sciences,financial management,budgetary principles,-,geriatrics,disability care,-,Italian,Bengali,-,Any,B2,-,-,False
88,covid tester ,{'group': '3259'},Master-D.,-,25,40,Pergine Valsugana,mark samples,interview people,interact with healthcare users,adhere to legislation related to health care,drive vehicles,-,-,informatics for medicine,hygienic environment in healthcare,health care legislation,-,principles of nursing,-,-,Spanish,-,-,Any,-,-,3,False
89,import export specialist in household goods,{'group': '3331'},Master-D.,PhD,29,36,Locana,speak different languages,handle carriers,communicate with shipment forwarders,-,-,-,-,international commercial transactions rules,household products,embargo regulations,-,-,-,-,Romanian,-,-,A2,-,-,1,False
90,interior designer,{'group': '3432'},Less-than-degree,-,16,26,Albiano,translate requirements into visual design,gather reference material for artwork,develop a specific interior design,-,ensure infrastructure accessibility,develop design concept,design materials for multimedia campaigns,room tastes,arrangement for interior design,-,-,-,-,-,French,English,-,A2,Any,-,1,False
91,aesthetician,{'group': '5142'},Degree,-,20,38,Marigliano,use hair removal techniques,perform facial treatment,maintain equipment,determine skin type,-,-,-,make-up techniques,cosmetics,-,-,spa products,hydrotherapy,cosmetic manicure,Spanish,English,-,Any,C1,-,-,False
92,call centre manager,{'group': '1439'},Degree,Bachelor-D.,18,29,Baiano,manage staff,identify customer's needs,-,-,train employees,teach marketing principles,recruit employees,information confidentiality,customer relationship management,-,-,social media marketing techniques,sales strategies,e-commerce systems,Italian,English,-,Any,B2,-,2,True
93,leather goods production manager,{'group': '1321'},Degree,Bachelor-D.,21,38,Gonzaga,use IT tools,prepare leather goods samples,plan leather goods manufacture,calculate the productivity of the production of footwear and leather goods,-,-,-,pre-stitching processes and techniques for footwear and leather goods,leather goods manufacturing processes,-,-,-,-,-,Italian,German,Romanian,A1,Any,Any,-,False
