qId,Job,metadata,Edu_essential,Edu_optional,AgeMin,AgeMax,City,Competence_essential,Competence_optional,Knowledge_essential,Knowledge_optional,Language_essential,Language_optional,Experience_essential,Experience_optional
10,paper embossing press operator,"{'group': '7322', 'uri_comp_ess': ['2903636f-6fd2-42a6-97ae-240503427e30', 'c8f14c32-7f24-41bb-9e8f-b24d6fd3ca86'], 'uri_comp_opt': ['6122d586-5978-431f-8e7a-96e61fc1f3fc', '23c759df-9860-41d8-80be-d00e0e6ad613', '7c155121-1ac5-4fc7-bd32-31c5e1f0514d'], 'uri_know_ess': ['7dcda7b8-afa9-4504-b7d9-95a51e8ee96d', 'f5b23047-990a-4576-a07a-320e7d040683', '8d4271ca-c9fd-40b3-875f-15f78332a49e'], 'uri_know_opt': ['69c0689f-09dc-45a8-bc8e-4952b19f7df2']}",Master-D.,PhD,27,42,Salerno,"['construct embossing plates', 'follow production schedule']","['wear appropriate protective gear', 'use solvents', 'use hand pliers']","['types of paper', 'types of embossing', 'quality standards']",['hi tech etching'],"[('French', 'Null'), ('Chinese', 'B1')]",[],-,False
11,hydroelectric plant operator,"{'group': '3131', 'uri_comp_ess': ['a6dcd5bd-d498-4469-96c9-cbc46e8efd04', '8eebf05f-4495-4fd5-b1f0-cb85750295be', 'dcc96a49-0bac-4a9c-8f8e-a32b4e47e6eb'], 'uri_comp_opt': ['182915aa-3470-433a-9b12-347511befcde', '753b1781-ea44-4eea-b84a-f8a76fbd6c4d', '8c474534-707f-46f3-b356-810bbfe8b693'], 'uri_know_ess': ['50e6eba0-4440-4ba5-bb58-3ee78a96e29b', '6360d655-3494-45f6-bfc6-d5f63afc355b'], 'uri_know_opt': []}",Master-D.,-,29,36,Casatenovo,"['hydraulic pumps operation', 'repair hydraulic systems', 'apply a health and safety standard']","['keep records of maintenance interventions', 'install hydraulic systems', 'advise on machinery malfunctions']","['hydroelectric power', 'electrical power safety regulations']",[],"[('Spanish', 'C1')]","[('English', 'Null')]",1,False
12,geophysicist,"{'group': '2114', 'uri_comp_ess': ['071de01d-c665-4984-9272-63e02b65b471', '336f4602-7847-4e58-b0ec-9a4da3d94ecd', 'bc54eee1-a858-4f80-afdc-0442a617ef50', 'd0b09515-58bb-4d8f-85ae-837a7e0ac388'], 'uri_comp_opt': ['0c5d2db1-6b19-4620-950a-b31a13b936d9', 'd33f0d8a-abb0-48d3-9b30-35fbdf20ddfc', 'b9f16465-56a9-426b-a047-0f9f1f95ec92'], 'uri_know_ess': ['49fcd628-1025-4e11-9feb-a24f64d0fced', '692ace70-7f97-4214-92bd-88f7637d8a44', '8bdd25f8-4b6e-40fe-a2cf-c1badc594114'], 'uri_know_opt': []}",Master-D.,-,28,34,Vigo di Fassa,"['engineer seismic equipment', 'reporting seismic research', 'conduct field work', 'offering geophysical support']","['take geophysical measurements', 'estimation of potential gas yield', 'thinking critically about problems']","['seismic measurement techniques', 'physics', 'geology']",[],"[('German', 'C2')]",[],1,True
13,disability support worker,"{'group': '3412', 'uri_comp_ess': ['e94773c9-c4be-4a01-a81f-d033dfeb21d4', '4f4afd0b-07e5-48fd-a7d4-0e8746c608df', '2c9f2122-093d-4660-908e-dac8fbdc33fa'], 'uri_comp_opt': ['0f298334-ae4a-4ab7-96c2-0d90d2883768'], 'uri_know_ess': ['39dd50ae-814c-4a15-99e9-39afcc36bf9f', '15a33d76-4640-438d-ae64-fdc0c1d3eebc'], 'uri_know_opt': []}",Master-D.,-,26,33,Padova,"[""identify social service users' specific communication needs"", 'conduct interview in social service', 'apply a multi-dimensional approach in care']",['assist disabled individuals with community life participation'],"['legal requirements in the social sector', 'customer care']",[],"[('Italian', 'B1')]",[],5,False
14,tile fitter,"{'group': '7122', 'uri_comp_ess': ['c643e59b-d74c-4f44-b76e-6e1d96c05ec4', 'b92758d4-4591-4df1-9ceb-f907aa71ebd9', '50f2d23c-b3fb-48a5-967b-14fd0a6dd205', '5bfdfb74-91dd-408b-a013-670d6961efc1'], 'uri_comp_opt': ['9df34bc3-25d4-4452-a896-4d19b94ef896', '5d9dd44a-81f8-4710-bd4d-af27ec5c2139', '2206af0c-3deb-48c5-a544-b9983d347da3'], 'uri_know_ess': ['8a169eb9-2cf1-4653-aa5c-af575c9836f9', '95097774-1a0e-4501-a3d9-b0f31973e02d'], 'uri_know_opt': ['6c6f0d6e-1f31-4413-b2ee-dabe135b29a7', '6db3ac8e-8636-4ced-965b-75e35c3193c3']}",Degree,Bachelor-D.,21,39,Nuoro,"['use safety equipment in construction', 'take measurements using specialised equipment', 'inspect construction supplies', 'fill tile joints']","['maintain records filed accurately', 'calculate needs for construction supplies', 'give requests for quotation']","['types of tile adhesive', 'sanding routines']","['art history', 'aesthetic movement']","[('Italian', 'C2'), ('Bengali', 'Null')]","[('German', 'Null')]",4,True
15,import export manager in clothing and footwear,"{'group': '1324', 'uri_comp_ess': ['293301db-be3c-4cba-b3ee-6cc9c55fd70a', '885564e4-9818-44ac-a77d-ddfe30b34ed7', '42ab725f-e57f-4320-a9fd-ac3d6717963d', '0ee94af1-b445-4973-9c3f-459fab250342'], 'uri_comp_opt': [], 'uri_know_ess': ['c4118654-695f-44bc-b9d3-1b26f3a955f8', '6f45a77d-9208-40f2-a116-ac99c77ef580'], 'uri_know_opt': []}",Degree,Bachelor-D.,21,33,Sassari,"['monitor international market performance', 'managing a business with great care', 'customs compliance ensuring', 'apply conflict management']",[],"['international import export laws', 'international commercial transaction rules']",[],"[('German', 'Null'), ('English', 'B1')]",[],2,False
16,textile chemist,"{'group': '2113', 'uri_comp_ess': ['62879c0f-03aa-478b-ba35-c0180f86b083', '50ab7296-bc34-4cb1-9fdb-7cf7b6f80f9c', 'f2836f4d-e797-49fe-94ec-c237c84df76d', 'eb13f8c5-8300-4422-a51f-475a7edb09ef'], 'uri_comp_opt': ['350d5fc0-67d4-4b75-8d28-85b325cf23fd'], 'uri_know_ess': ['7cc80984-8c8a-4e03-8fda-b76b4198d1f0', 'dbb0afa6-4dd1-4ded-84e7-b2c706164bcc', '6860efa0-dcf4-441f-94c0-73826fa95d33', '13d1b916-0ee9-4ee1-b762-56a9feade16c'], 'uri_know_opt': ['fdfb348c-6aaf-4815-8f50-2f665287c422']}",Master-D.,PhD,27,41,Caserta,"['use textile finishing machine technologies', 'maintaining work skills and methods standards', 'evaluate textile characteristics', 'conduct textile testing operations']",['manufacture man-made fibres'],"['technologies for textile', 'textile printing technology', 'research and development in textiles', 'health and safety in the textile industry']",['challenging issues in the textile industry'],"[('German', 'A1')]",[],1,False
17,broadcast news editor,"{'group': '2642', 'uri_comp_ess': ['91abe492-18be-4cce-93c7-0dca07072363', '339ac029-066a-4985-9f9d-b3d7c8fea0bb', 'c281ebab-c698-495b-9916-abdb7dc78c50', '7287dff1-7420-4d24-939a-5f4eb15b752b'], 'uri_comp_opt': ['637ca2e2-0624-48b1-be6e-9ff4580344ac', '9ce52938-fe28-4548-b38d-0c783933e19a'], 'uri_know_ess': ['be3f635b-b400-4eb3-b4cc-c44a34f26eae', 'dee6dd50-49fd-4df8-8691-380fe85f1380', 'd4ae9564-0b61-4aa0-9df0-d4fdc969fd6f', '3cdf3193-e070-40aa-a1b1-ab985db2c647'], 'uri_know_opt': ['38509fa4-7c06-4a4b-9622-f521f03c37b8', '7fb699d9-182a-430e-b7a0-6d8ed05c284b', 'e6262391-ffda-4b8e-9f5c-89cf1a0e7384']}",Master-D.,-,28,41,Spezzano Albanese,"['meet deadlines', 'manage staff', 'follow ethical code of conduct of journalists', 'consult information sources']","['proofread text', 'edit digital moving images']","['spelling', 'press law', 'grammar', 'editorial standards']","['photography', 'graphic design', 'audiovisual equipment']","[('Bengali', 'Null')]",[],-,False
18,fireplace installer,"{'group': '7115', 'uri_comp_ess': ['68b6ef08-d823-489d-a95c-752ae6f6e6a7', '048affec-04db-4bd5-b7a6-c666d16c0fef', '8ed53702-3e4e-4637-a4c3-9dc8f4281019', '50f2d23c-b3fb-48a5-967b-14fd0a6dd205'], 'uri_comp_opt': ['88806f52-96a1-4a40-a172-6dcdcee066d8', 'e3e42d54-78bd-4337-aa87-bb31a7670c9a'], 'uri_know_ess': ['303c6ab0-21c3-4b09-ac77-d405936857d9', '5518db9d-4a2f-4b53-9068-4d0d61465bf4', 'b091d04a-bb5d-4998-afc9-d71e6c96fb80'], 'uri_know_opt': ['4e09e2d2-e317-47d2-bf5e-1d6c66be3efc', '95013213-ee67-493b-86d0-e383e0f72482']}",Less-than-degree,Degree,18,37,Marano di Napoli,"['read standard blueprints', 'load cargo', 'installation of plastic construction profiles', 'inspect construction supplies']","['report chimney defects', 'prepare sales invoices']","['sustainable installation materials', 'construction product regulation', 'construction equipment related to building materials']","['energy performance of buildings', 'domestic heating systems']","[('Italian', 'Null'), ('English', 'Null')]",[],1,False
19,paper stationery machine operator,"{'group': '8143', 'uri_comp_ess': ['6122d586-5978-431f-8e7a-96e61fc1f3fc', '334e3e49-fb02-4051-809a-f06adfdc1c40', 'c4af93e4-13e4-46e9-a129-f1804aa62eb4', '7aa52bdc-9c56-4341-be65-e8e30f64403f'], 'uri_comp_opt': ['96d6a0a7-5923-44c1-adec-c76ab617c6d9', '47e706a7-81dc-4dc4-9438-22d475b962f8', '25f4c955-e429-44a6-98a7-7d8cb3b6b690'], 'uri_know_ess': ['7dcda7b8-afa9-4504-b7d9-95a51e8ee96d', '8d4271ca-c9fd-40b3-875f-15f78332a49e'], 'uri_know_opt': ['a507f45d-0894-4803-b1cd-9ca7f15c9299']}",Degree,Bachelor-D.,19,34,Curtarolo,"['wear appropriate protective gear', 'troubleshoot', 'prevent paper jams', 'monitor automated machines']","['prepare wood production reports', 'manage offset printing process', 'follow a brief']","['types of paper', 'quality standards']",['printed goods processes'],"[('Arabic', 'Null')]",[],-,False
20,cacao bean roaster,"{'group': '8160', 'uri_comp_ess': ['e8dd2e5e-cbc9-4f0d-9bb4-7150d5fd70a8', '2ee79495-6ff4-4a2b-b691-0a051a2bb7cf', 'e265e4e2-f031-4012-a7bf-54cac48fb846', '4bbb309f-9162-49b9-93da-fb2c371e5c5f'], 'uri_comp_opt': ['25e16679-a7d0-464d-916c-63210001bbab'], 'uri_know_ess': ['79329ded-7ee7-45c5-a89c-85386473efef', '7c4feb5c-6c67-4b05-8d00-9e63c3b8ba7e', '26cdf747-5220-4beb-a17a-b452d5fa56f5'], 'uri_know_opt': ['3cdb777c-3d88-433f-83e7-7d23701adf74']}",Less-than-degree,Degree,17,37,Rosarno,"['watch fans for machines', 'screen cocoa beans', 'maintain kitchen equipment at correct temperature', 'collecting samples for analysis']",['act reliably'],"['temperature readings', 'dried cacao beans', 'the chemical effect of roasting cacao beans']",['antiquity of chocolate'],"[('Russian', 'Null'), ('Italian', 'A1')]",[],3,False
21,environmental mining engineer,"{'group': '2143', 'uri_comp_ess': ['541561bc-510c-4a99-881c-2d8bf5a85462', '334e3e49-fb02-4051-809a-f06adfdc1c40', '8df86db8-dfcd-414b-854f-ad1cdb18d733', '5ef9ba60-042f-476f-bed5-4e214a7927b2'], 'uri_comp_opt': [], 'uri_know_ess': ['59ea80e1-463a-4dba-82c6-d0b6d577d532', '209a5498-3449-4689-8ed9-bd08cab4fd78'], 'uri_know_opt': []}",Master-D.,PhD,29,34,Campomorone,"['use technical drawing software', 'troubleshoot', 'communicate on the environmental impact of mining', 'communicate on minerals issues']",[],"['technical drawings', 'engineering principles']",[],"[('Italian', 'A2'), ('French', 'A1')]","[('Spanish', 'Null')]",2,False
22,vineyard cellar master,"{'group': '6112', 'uri_comp_ess': ['b4545d77-77c2-4b4a-b631-10c5b11ca688', '5a8d4d8c-ff64-4f82-945e-ec6f56e05cbe', 'cda471f8-e175-4340-8259-4636eff669f8', 'e96e8da9-3344-4595-98e2-52d118f83cc4'], 'uri_comp_opt': ['c241f5a5-e23f-47bf-ad24-d83ea0010166'], 'uri_know_ess': ['d3dd0329-9768-4996-94a8-284e9819a4eb', 'f2f463e5-2382-49cb-8199-e7e043d868df'], 'uri_know_opt': ['186da517-9a3e-41cd-9158-4001e3694459']}",Degree,-,22,30,Rosarno,"['supervise the wine cellar', 'supervise hygiene procedures in agricultural settings', 'control wine quality', 'clean drink dispense lines']",['ensure proper document management'],"['winery production process', 'health and safety regulations']",['organic farming'],"[('Italian', 'B1'), ('Chinese', 'C2')]",[],2,True
23,academic support officer,"{'group': '2359', 'uri_comp_ess': ['a65fb963-6faf-47b2-a3d9-c4e5e4d833c5', '3cd304db-9df0-4f22-9759-9ed86155876c', 'e9160feb-109a-41eb-9604-9f898c710d0f', '11f536f5-b0e2-46a6-95c1-bd765946604c'], 'uri_comp_opt': ['bf5ab3df-9589-4e99-b8f6-a83b494f40be'], 'uri_know_ess': ['7111b95d-0ce3-441a-9d92-4c75d05c4388', 'edff6d20-660d-4d33-b412-9a5b664a14be'], 'uri_know_opt': ['d4e9055e-597f-42ca-98ac-a5e3d8e881e1', '621391ab-1187-4705-a0cb-a7b1a6d2b664', '15a33d76-4640-438d-ae64-fdc0c1d3eebc']}",Degree,-,21,32,Belveglio,"[""support children's wellbeing"", ""demonstrate consideration for student's situation"", 'supervise extra-curricular activities', ""ensure students' safety""]",['promote social awareness'],"['managing of projects', 'curriculum objectives']","['university procedures', 'school psychology', 'customer satisfaction']","[('French', 'Null'), ('English', 'C2')]",[],-,False
24,market research interviewer,"{'group': '4227', 'uri_comp_ess': ['415abd43-e8e5-4643-b5da-5f11307af57a', '896563fc-6255-4419-89c2-ffed30159ad6'], 'uri_comp_opt': ['7df4c2c2-6d09-498d-9ad5-eb4ac6f4db1a', 'de2f0ce8-f8d6-48c5-a213-4d065251cecf', '3a585818-03f1-434c-b41b-9d3c4ceedfaa'], 'uri_know_ess': ['324f0243-1a21-4f5c-9f71-52eebc2596ed', 'a56dec32-05ef-45de-a256-ee6741f356db'], 'uri_know_opt': ['7ee4c2ea-b349-4bd2-81a3-ec31475d4833', '3cbe8b8d-69ba-4faa-9a7c-4cb95769df88']}",Less-than-degree,Degree,18,35,Montorio al Vomano,"['use different communication channels', 'conduct research interview']","['use shorthand', 'use the telephone', 'investigate  call performance trends']","['interview techniques', 'information confidentiality']","['statistics', 'politics']","[('French', 'Null'), ('English', 'A1')]",[],3,False
25,wood boring machine operator,"{'group': '7523', 'uri_comp_ess': ['d9818afc-1dec-4944-8c9c-e3ae8fad176d', '465ff64a-1271-4064-8ed1-e969cb68d8b4', '44e2906f-48f2-48ee-88f8-351ecdb53f18', '69f23426-9279-4fe6-a283-24c2aa4c855d'], 'uri_comp_opt': ['88ea614f-7e96-48fd-bf0b-96bf00bdb098', 'a93011ca-e6ab-4182-8a05-4d4b282cff27', 'e040fb97-ac17-4cd0-bf74-7e96c83811b6'], 'uri_know_ess': ['cf2005ee-c788-4283-81d9-b443dfdf2c2e', 'ffb0deef-e207-4b97-90ef-5a06c1add65f', '67c0bbe5-f725-470e-bc6d-9b9151e25ffa'], 'uri_know_opt': []}",Master-D.,PhD,24,39,Arese,"['set up the controller of a machine', 'perform test run', 'manipulating wood', 'ensure equipment availability']","['finish wood', 'review quality of raw materials', 'apply wood finishes']","['types of wood', 'types of drill bits', 'types of boring heads']",[],"[('Arabic', 'A2')]",[],2,True
26,marketing assistant,"{'group': '2431', 'uri_comp_ess': ['0839eea4-c57b-4c14-b19b-923fbedb5d88', 'c0799f81-9955-463a-b071-4f1c82719aa8'], 'uri_comp_opt': ['2de4572a-4724-4f76-afc2-72a568a264ac', 'ca1844f3-933d-468f-9c2a-ae67c618ce88'], 'uri_know_ess': ['84605f91-5ab4-4965-a1ad-cdc1901a820d', 'dc9a236c-c640-43c3-812f-269403591edb'], 'uri_know_opt': ['5330b70e-16f5-43a7-a6de-18fd6a4bd063']}",Degree,Bachelor-D.,20,27,Caserta,"['perform business research', 'supervise the handling of promotional materials']","['speak different languages', 'assess questionnaires']","['marketing department processes', 'customer relationship management']",['public relations'],"[('Spanish', 'Null')]",[],3,False
27,anatomical pathology technician,"{'group': '2131', 'uri_comp_ess': ['76395873-7fe2-4f9a-b4b6-9932f8cbd0b4', '9fcf9918-fdef-49c3-aedc-518eb1e7e1f5', '7110bf9f-b245-4adc-9159-5081013fd64d', 'aa238394-8126-4ada-be2f-9dfe065cf314'], 'uri_comp_opt': ['b55f61a4-5f9e-4741-ba95-9ac04b64119b', '114a5cda-0ef1-4065-a064-755260aaa77e'], 'uri_know_ess': ['b2273cd7-3249-42b3-bc23-8f228b73f84d', 'a1df411f-0ef7-40f4-a53f-453c55b77b9c', '33c01497-8264-4773-81dd-6096ad512f02'], 'uri_know_opt': ['2806260f-6399-4add-8f11-070141423f9d', 'f7464f30-662b-4177-85a0-3df9693e9e58']}",Master-D.,PhD,24,42,Trezzo sull'Adda,"['follow clinical guidelines', 'comply with legislation related to health care', 'communicate in healthcare', 'adhere to organisational guidelines']","['work in multi-cultural environment in health care', 'perform forensic examinations']","['pathological anatomy', 'legal requirements related to mortuary service', 'health care occupation-specific ethics']","['medical terminology', 'first aid']","[('Italian', 'A2')]",[],-,False
28,ICT business development manager,"{'group': '2434', 'uri_comp_ess': ['f975091a-e5a5-4472-ac17-11680e53e98f', '1e77e42a-181f-4b48-8e74-201ce50ffc29', 'd207a30b-2f80-4138-9b77-f88d549b8768', 'c55caed2-de9e-4a25-819e-a0b0e83fba1b'], 'uri_comp_opt': ['415abd43-e8e5-4643-b5da-5f11307af57a', '92721092-fe7c-4689-96bd-4f02385bc0e7', 'af607e5e-4ba1-4e5f-a2a6-dc05806567c7'], 'uri_know_ess': ['3ce1fe19-7f9e-4070-941d-651673a5693b', 'bd698bbe-7003-4508-b422-46c2ff4d5e95', 'ccdbd9bb-4faf-403c-a968-e8bf487f8a53'], 'uri_know_opt': []}",Degree,-,18,24,Fiscaglia,"['seek innovation in current practices', 'interpret current data', 'identify new business opportunities', 'give live presentation']","['use different communication channels', 'manage contracts', 'coordinate technological activities']","['decision support systems', 'business strategy concepts', 'business ICT systems']",[],"[('Spanish', 'B2')]","[('Arabic', 'Null')]",1,True
